country,year,Population,GDP
Middle East & North Africa,1984,211185701,"422,814,788,719 "
Middle East & North Africa,1983,204428624,"416,803,193,606 "
Middle East & North Africa,1982,197762395,"410,556,933,699 "
Middle East & North Africa,1981,191326246,"412,874,120,636 "
Middle East & North Africa,1980,185183207,"399,383,230,152 "
Middle East & North Africa,1979,179347175,"307,799,442,983 "
Middle East & North Africa,1978,173827674,"235,404,409,508 "
Middle East & North Africa,1977,168635082,"221,310,910,626 "
Middle East & North Africa,1976,163721499,"191,082,833,232 "
Middle East & North Africa,1975,159062409,"153,050,152,563 "
Middle East & North Africa,1974,154655451,"139,343,216,013 "
Middle East & North Africa,1973,150475905,"76,484,143,556 "
Middle East & North Africa,1972,146461363,"56,734,515,183 "
Middle East & North Africa,1971,142629493,"46,604,996,687 "
Middle East & North Africa,1970,138863307,"39,812,437,286 "
Middle East & North Africa,1969,135136426,"35,705,305,919 "
Middle East & North Africa,1968,131489251,"32,007,816,055 "
Middle East & North Africa (excluding high income),2014,356262920,"1,559,936,679,967 "
Middle East & North Africa (excluding high income),2013,350056720,"1,658,590,416,841 "
Middle East & North Africa (excluding high income),2012,343940245,"1,708,784,003,044 "
Middle East & North Africa (excluding high income),2011,337908291,"1,575,715,907,102 "
Middle East & North Africa (excluding high income),2010,331928764,"1,362,935,527,742 "
Middle East & North Africa (excluding high income),2009,326041106,"1,183,263,757,850 "
Middle East & North Africa (excluding high income),2008,320229174,"1,229,310,862,053 "
Middle East & North Africa (excluding high income),2007,314531268,"994,020,437,871 "
Middle East & North Africa (excluding high income),2006,308994950,"803,410,808,182 "
Middle East & North Africa (excluding high income),2005,303621727,"691,545,502,187 "
Middle East & North Africa (excluding high income),2004,298427213,"586,340,166,185 "
Middle East & North Africa (excluding high income),2003,293390641,"511,961,960,159 "
Middle East & North Africa (excluding high income),2002,288454626,"453,838,998,779 "
Middle East & North Africa (excluding high income),2001,283534356,"467,521,087,301 "
Middle East & North Africa (excluding high income),2000,278580533,"451,819,933,786 "
Middle East & North Africa (excluding high income),1999,273564675,"436,037,800,603 "
Middle East & North Africa (excluding high income),1998,268464614,"412,295,869,777 "
Middle East & North Africa (excluding high income),1997,263330664,"406,209,807,403 "
Middle East & North Africa (excluding high income),1996,258137333,"395,487,323,890 "
Middle East & North Africa (excluding high income),1995,252960224,"341,063,616,586 "
Middle East & North Africa (excluding high income),1994,247781649,"299,084,663,555 "
Middle East & North Africa (excluding high income),1993,242574382,"291,646,634,599 "
Middle East & North Africa (IDA & IBRD countries),2014,351968238,"1,547,094,259,122 "
Middle East & North Africa (IDA & IBRD countries),2013,345887214,"1,646,052,738,539 "
Middle East & North Africa (IDA & IBRD countries),2012,339893344,"1,697,512,925,439 "
Middle East & North Africa (IDA & IBRD countries),2011,333981240,"1,565,261,050,909 "
Middle East & North Africa (IDA & IBRD countries),2010,328117662,"1,354,032,873,833 "
Middle East & North Africa (IDA & IBRD countries),2009,322338888,"1,176,026,080,424 "
Middle East & North Africa (IDA & IBRD countries),2008,316632486,"1,222,709,136,180 "
Middle East & North Africa (IDA & IBRD countries),2007,311036772,"988,567,670,249 "
Middle East & North Africa (IDA & IBRD countries),2006,305588616,"798,542,284,634 "
Middle East & North Africa (IDA & IBRD countries),2005,300301331,"686,747,796,633 "
Middle East & North Africa (IDA & IBRD countries),2004,295190587,"582,039,223,705 "
Middle East & North Africa (IDA & IBRD countries),2003,290235672,"508,005,411,275 "
Middle East & North Africa (IDA & IBRD countries),2002,285379253,"450,290,656,712 "
Middle East & North Africa (IDA & IBRD countries),2001,280536572,"463,501,104,464 "
Middle East & North Africa (IDA & IBRD countries),2000,275658380,"447,459,340,688 "
Middle East & North Africa (IDA & IBRD countries),1999,270716244,"431,713,632,735 "
Middle East & North Africa (IDA & IBRD countries),1998,265688046,"408,175,934,544 "
Middle East & North Africa (IDA & IBRD countries),1997,260624146,"402,416,083,287 "
Middle East & North Africa (IDA & IBRD countries),1996,255549336,"392,062,347,885 "
Middle East & North Africa (IDA & IBRD countries),1995,250485558,"337,743,471,357 "
Middle East & North Africa (IDA & IBRD countries),1994,245415351,"296,211,108,128 "
Middle East & North Africa (IDA & IBRD countries),1993,240311706,"288,844,542,510 "
Middle income,2015,5477740153,"25,567,686,366,458 "
Middle income,2014,5415880792,"27,206,610,158,958 "
Middle income,2013,5353977730,"26,388,305,129,319 "
Middle income,2012,5292465512,"24,919,874,800,074 "
Middle income,2011,5231532995,"23,423,314,255,549 "
Middle income,2010,5171057628,"19,898,871,139,504 "
Middle income,2009,5111211370,"16,267,262,939,343 "
Middle income,2008,5051827516,"16,664,223,144,586 "
Middle income,2007,4993212656,"13,904,177,446,098 "
Middle income,2006,4935060994,"11,200,902,136,201 "
Middle income,2005,4876465803,"9,417,148,939,182 "
Middle income,2004,4817596450,"7,905,134,972,301 "
Middle income,2003,4758705966,"6,672,979,563,935 "
Middle income,2002,4699653830,"5,919,315,967,589 "
Middle income,2001,4640422474,"5,637,783,212,852 "
Middle income,2000,4579852747,"5,553,376,931,682 "
Middle income,1999,4517793954,"5,068,179,787,501 "
Middle income,1998,4454714949,"5,182,319,602,511 "
Middle income,1997,4390287272,"5,372,010,494,348 "
Middle income,1996,4325155828,"5,081,251,169,557 "
Middle income,1995,4260065202,"4,653,177,413,558 "
Middle income,1994,4194855599,"4,141,053,758,651 "
Middle income,1993,4129288626,"3,802,219,510,895 "
Middle income,1992,4063265109,"3,564,248,645,163 "
Middle income,1991,3995953092,"3,639,850,464,861 "
Middle income,1990,3926629331,"3,440,284,829,547 "
Middle income,1989,3853645710,"3,101,333,592,187 "
Middle income,1988,3780823322,"2,849,259,056,009 "
Middle income,1987,3707139837,"2,636,062,970,514 "
Middle income,1986,3633815094,"2,560,062,088,662 "
Middle income,1985,3562373802,"2,477,107,644,927 "
Middle income,1984,3493035742,"2,355,574,765,580 "
Middle income,1983,3425091573,"2,285,143,231,048 "
Middle income,1982,3356981093,"2,350,047,387,053 "
Middle income,1981,3289816363,"2,376,852,852,128 "
Middle income,1980,3225926068,"2,198,465,558,685 "
Middle income,1979,3163621370,"1,871,088,459,787 "
Middle income,1978,3102156436,"1,571,172,887,666 "
Middle income,1977,3042108010,"1,442,814,912,518 "
Middle income,1976,2983076316,"1,281,478,867,165 "
Middle income,1975,2923434571,"1,173,306,367,107 "
Middle income,1974,2863167237,"1,030,951,902,149 "
Middle income,1973,2801575209,"809,386,802,158 "
Middle income,1972,2739433440,"646,931,465,928 "
Middle income,1971,2677098277,"575,742,712,277 "
Middle income,1970,2613948731,"533,452,644,699 "
Middle income,1969,2552270283,"483,368,860,015 "
Middle income,1968,2492112419,"434,352,881,870 "
Middle income,1967,2434271944,"411,116,506,653 "
Middle income,1966,2378007946,"392,525,579,967 "
Middle income,1965,2321545207,"379,806,078,444 "
Middle income,1964,2268605700,"344,693,224,490 "
Middle income,1963,2217140134,"310,908,413,489 "
Middle income,1962,2166132631,"281,460,378,419 "
Middle income,1961,2127031707,"269,831,744,848 "
Middle income,1960,2101076402,"280,394,455,990 "
North America,2015,357335829,"19,503,406,576,740 "
North America,2014,354516198,"19,137,610,976,789 "
North America,2013,351647895,"18,506,177,196,716 "
North America,2012,348918897,"17,985,081,294,448 "
North America,2011,346126201,"17,312,180,156,548 "
North America,2010,343417261,"16,583,522,548,731 "
North America,2009,340465736,"15,795,698,382,986 "
North America,2008,337405012,"16,273,823,136,997 "
North America,2007,334184023,"15,948,507,238,206 "
North America,2006,331014940,"15,176,717,496,461 "
North America,2005,327892753,"14,267,952,115,865 "
North America,2004,324864038,"13,302,608,706,075 "
North America,2003,321847258,"12,407,237,511,368 "
North America,2002,319050105,"11,739,401,906,647 "
North America,2001,316113359,"11,361,884,260,893 "
North America,2000,312993944,"11,030,552,667,253 "
North America,1999,309600485,"10,340,031,087,641 "
North America,1998,306162843,"9,724,112,027,407 "
North America,1997,302704697,"9,264,273,191,726 "
North America,1996,299126029,"8,731,442,777,972 "
North America,1995,295691746,"8,270,122,373,385 "
North America,1994,292297226,"7,888,761,439,502 "
North America,1993,288811320,"7,457,709,121,892 "
North America,1992,285092192,"7,133,366,589,285 "
North America,1991,281211703,"6,786,006,083,611 "
North America,1990,277473326,"6,575,110,950,908 "
North America,1989,274256841,"6,224,250,243,275 "
North America,1988,271452347,"5,761,398,451,214 "
North America,1987,268896849,"5,302,830,242,049 "
North America,1986,266394382,"4,968,766,427,344 "
North America,1985,263922898,"4,712,529,999,483 "
North America,1984,261583423,"4,397,051,258,072 "
North America,1983,259303930,"3,979,574,111,782 "
North America,1982,256921449,"3,659,283,025,119 "
North America,1981,254421050,"3,517,909,963,657 "
North America,1980,251872670,"3,136,972,126,345 "
North America,1979,249385800,"2,875,732,302,185 "
North America,1978,246674600,"2,575,679,667,450 "
North America,1977,244088400,"2,298,010,156,935 "
North America,1976,241606200,"2,084,548,864,402 "
North America,1975,239235000,"1,863,102,029,788 "
North America,1974,236681487,"1,709,546,297,648 "
North America,1973,234332208,"1,560,140,359,214 "
North America,1972,231943831,"1,395,767,220,992 "
North America,1971,229361135,"1,267,253,061,478 "
North America,1970,226431000,"1,163,966,395,224 "
North America,1969,223759000,"1,097,952,410,242 "
North America,1968,221503000,"1,013,409,031,842 "
North America,1967,219176000,"926,623,934,247 "
North America,1966,216659000,"875,492,805,409 "
North America,1965,214031100,"797,723,909,391 "
North America,1964,211262900,"734,790,505,461 "
North America,1963,208253700,"683,353,535,762 "
North America,1962,205198600,"647,173,002,027 "
North America,1961,202007500,"604,157,219,440 "
North America,1960,198624409,"584,477,920,199 "
OECD members,2015,1280996600,"45,837,975,611,057 "
OECD members,2014,1272988093,"48,764,570,540,533 "
OECD members,2013,1265803480,"47,918,300,073,277 "
OECD members,2012,1256007864,"47,426,268,541,439 "
OECD members,2011,1249545623,"47,552,545,035,829 "
OECD members,2010,1241452689,"44,291,114,644,305 "
OECD members,2009,1233168788,"42,244,866,696,454 "
OECD members,2008,1224342695,"45,142,342,532,480 "
OECD members,2007,1214788964,"42,662,251,529,003 "
OECD members,2006,1205728104,"39,004,343,889,708 "
OECD members,2005,1196962245,"36,982,245,219,788 "
OECD members,2004,1188545786,"35,003,482,643,077 "
OECD members,2003,1180159877,"31,447,979,400,916 "
OECD members,2002,1171839743,"28,061,877,980,770 "
OECD members,2001,1163417810,"26,877,676,473,278 "
OECD members,2000,1154893058,"27,113,685,207,968 "
OECD members,1999,1146703053,"26,565,760,780,855 "
OECD members,1998,1138411699,"25,279,398,766,074 "
OECD members,1997,1130165365,"25,051,140,894,021 "
OECD members,1996,1121634956,"25,411,351,172,622 "
OECD members,1995,1113092996,"25,203,953,238,204 "
OECD members,1994,1104366418,"23,003,726,167,270 "
OECD members,1993,1095486313,"21,547,938,265,494 "
OECD members,1992,1086132606,"21,238,649,045,182 "
OECD members,1991,1076331631,"19,755,673,339,112 "
OECD members,1990,1066638735,"18,678,749,792,836 "
OECD members,1989,1057515403,"16,573,541,266,336 "
OECD members,1988,1048967683,"15,818,153,645,883 "
OECD members,1987,1040942750,"14,022,431,050,918 "
OECD members,1986,1033067368,"12,115,934,130,932 "
OECD members,1985,1025143958,"9,998,447,906,691 "
OECD members,1984,1017531966,"9,478,910,369,630 "
OECD members,1983,1009999334,"9,063,254,006,724 "
OECD members,1982,1002134002,"8,772,836,711,379 "
OECD members,1981,993924740,"8,906,974,444,969 "
OECD members,1980,985232586,"8,749,928,392,462 "
OECD members,1979,976522691,"7,883,339,806,271 "
OECD members,1978,967632509,"6,823,545,177,809 "
OECD members,1977,958727106,"5,683,667,106,435 "
OECD members,1976,949902285,"5,041,748,607,185 "
OECD members,1975,941274599,"4,651,156,521,644 "
OECD members,1974,931162502,"4,150,027,932,773 "
OECD members,1973,920554338,"3,702,598,028,132 "
OECD members,1972,911007982,"3,065,566,871,396 "
OECD members,1971,900593213,"2,642,556,702,702 "
OECD members,1970,890374533,"2,386,369,842,443 "
OECD members,1969,880830298,"2,177,621,023,324 "
OECD members,1968,870346341,"1,984,182,062,487 "
OECD members,1967,861666135,"1,830,937,526,485 "
OECD members,1966,852078296,"1,706,428,140,081 "
OECD members,1965,842088008,"1,554,239,342,969 "
OECD members,1964,831581967,"1,431,360,737,924 "
OECD members,1963,820737024,"1,309,751,256,021 "
OECD members,1962,809855392,"1,215,785,468,489 "
OECD members,1961,798937506,"1,126,100,130,165 "
OECD members,1960,786648153,"1,071,356,678,406 "
Other small states,2015,28650005,"368,045,669,757 "
Other small states,2014,28142985,"440,527,724,679 "
Other small states,2013,27632006,"426,361,822,223 "
Other small states,2012,27109032,"409,631,609,489 "
Other small states,2011,26564437,"391,013,937,005 "
Other small states,2010,25965594,"312,830,875,910 "
Other small states,2009,25360267,"268,641,774,528 "
Other small states,2008,24732235,"314,948,255,377 "
Other small states,2007,24080704,"257,906,166,778 "
Other small states,2006,23463471,"211,132,329,687 "
Other small states,2005,22912669,"180,397,220,578 "
Other small states,2004,22437930,"148,764,535,976 "
Other small states,2003,22012962,"120,098,671,947 "
Other small states,2002,21630779,"96,746,065,026 "
Other small states,2001,21267515,"89,693,165,619 "
Other small states,2000,20898841,"90,268,341,494 "
Other small states,1999,20515051,"79,925,919,932 "
Other small states,1998,20150470,"74,369,117,128 "
Other small states,1997,19801297,"75,969,321,099 "
Other small states,1996,19462187,"73,245,307,288 "
Other small states,1995,19130028,"69,416,033,107 "
Other small states,1994,18804340,"60,349,153,066 "
Other small states,1993,18484577,"57,623,009,600 "
Other small states,1992,18164444,"60,592,688,372 "
Other small states,1991,17821355,"55,553,660,107 "
Other small states,1990,17443575,"53,986,815,850 "
Other small states,1989,17051830,"45,130,587,825 "
Other small states,1988,16633611,"43,096,335,138 "
Other small states,1987,16207189,"38,353,680,805 "
Other small states,1986,15786818,"32,311,760,344 "
Other small states,1985,15381431,"31,942,533,162 "
Other small states,1984,14996144,"33,610,778,352 "
Other small states,1983,14632383,"33,366,185,281 "
Other small states,1982,14283059,"35,339,682,837 "
Other small states,1981,13945999,"37,387,303,650 "
Other small states,1980,13628840,"37,184,441,608 "
Other small states,1979,13328816,"26,785,961,530 "
Other small states,1978,13047655,"20,632,149,763 "
Other small states,1977,12783508,"18,699,923,073 "
Other small states,1976,12526930,"16,602,997,116 "
Other small states,1975,12275209,"13,356,277,307 "
Pacific island small states,2015,2351091,"8,625,970,093 "
Pacific island small states,2014,2323513,"8,845,723,924 "
Pacific island small states,2013,2295834,"8,365,969,512 "
Pacific island small states,2012,2267982,"8,118,903,224 "
Pacific island small states,2011,2239849,"7,677,505,381 "
Pacific island small states,2010,2211421,"6,469,972,334 "
Pacific island small states,2009,2182547,"5,852,508,156 "
Pacific island small states,2008,2153399,"6,584,689,096 "
Pacific island small states,2007,2124650,"6,171,252,267 "
Pacific island small states,2006,2097182,"5,603,797,797 "
Pacific island small states,2005,2071588,"5,336,625,074 "
Pacific island small states,2004,2048118,"4,874,134,376 "
Pacific island small states,2003,2026433,"4,219,685,168 "
Pacific island small states,2002,2005803,"3,593,475,492 "
Pacific island small states,2001,1985179,"3,406,191,543 "
Pacific island small states,2000,1963761,"3,480,881,464 "
Pacific island small states,1999,1941464,"3,733,751,237 "
Pacific island small states,1998,1918419,"3,430,418,269 "
Pacific island small states,1997,1894309,"3,989,354,569 "
Pacific island small states,1996,1868807,"3,992,931,434 "
Pacific island small states,1995,1841772,"3,718,407,434 "
Pacific island small states,1994,1812753,"3,442,016,212 "
Pacific island small states,1993,1781989,"2,987,223,639 "
Pacific island small states,1992,1750857,"2,833,817,717 "
Pacific island small states,1991,1721249,"2,583,109,300 "
Pacific island small states,1990,1694417,"2,416,850,556 "
Pacific island small states,1989,1671112,"2,242,696,265 "
Pacific island small states,1988,1650666,"2,146,569,377 "
Pacific island small states,1987,1631177,"2,050,827,729 "
Pacific island small states,1986,1609921,"2,085,883,391 "
Pacific island small states,1985,1585032,"1,921,120,952 "
Pacific island small states,1984,1555790,"2,027,995,718 "
Pacific island small states,1983,1523013,"1,853,284,440 "
Pacific island small states,1982,1488194,"1,932,804,963 "
Pacific island small states,1981,1453544,"1,977,632,576 "
Pacific island small states,1980,1420689,"1,919,281,933 "
Pacific island small states,1979,1390041,"1,688,437,132 "
Pacific island small states,1978,1361129,"1,378,120,575 "
Pacific island small states,1977,1333634,"1,188,288,732 "
Pacific island small states,1976,1306944,"1,138,949,236 "
Pacific island small states,1975,1280578,"1,135,831,316 "
Post-demographic dividend,2015,1097737383,"43,638,412,764,649 "
Post-demographic dividend,2014,1092938826,"46,299,548,879,868 "
Post-demographic dividend,2013,1089081466,"45,515,022,597,436 "
Post-demographic dividend,2012,1082692198,"45,162,686,623,075 "
Post-demographic dividend,2011,1079590396,"45,236,178,274,122 "
Post-demographic dividend,2010,1075073808,"42,162,464,764,779 "
Post-demographic dividend,2009,1070040846,"40,402,186,511,938 "
Post-demographic dividend,2008,1064539739,"42,908,212,638,438 "
Post-demographic dividend,2007,1058116566,"40,621,090,738,193 "
Post-demographic dividend,2006,1052284984,"37,212,554,596,927 "
Post-demographic dividend,2005,1046651906,"35,360,180,289,909 "
Post-demographic dividend,2004,1041323104,"33,605,055,021,736 "
Post-demographic dividend,2003,1035926661,"30,239,768,048,592 "
Post-demographic dividend,2002,1030738658,"26,946,148,972,041 "
Post-demographic dividend,2001,1025559136,"25,819,989,398,023 "
Post-demographic dividend,2000,1020294075,"26,044,297,418,135 "
Post-demographic dividend,1999,1015143403,"25,624,522,887,699 "
Post-demographic dividend,1998,1010195262,"24,411,909,302,901 "
Post-demographic dividend,1997,1005399457,"24,332,118,247,014 "
Post-demographic dividend,1996,1000255943,"24,772,593,777,775 "
Post-demographic dividend,1995,995113407,"24,656,703,265,788 "
Post-demographic dividend,1994,989788286,"22,374,871,687,806 "
Post-demographic dividend,1993,984175293,"20,910,367,157,723 "
Post-demographic dividend,1992,977709589,"20,747,990,780,390 "
Post-demographic dividend,1991,970950461,"19,335,726,268,219 "
Post-demographic dividend,1990,964659603,"18,337,692,977,991 "
Post-demographic dividend,1989,958485541,"16,328,385,479,181 "
Post-demographic dividend,1988,952502232,"15,615,200,436,494 "
Post-demographic dividend,1987,946943601,"13,864,847,734,519 "
Post-demographic dividend,1986,941590822,"11,969,486,706,461 "
Post-demographic dividend,1985,936326850,"9,805,156,442,958 "
Post-demographic dividend,1984,931491066,"9,296,310,370,202 "
Post-demographic dividend,1983,926705289,"8,894,221,000,080 "
Post-demographic dividend,1982,921626766,"8,574,379,907,972 "
Post-demographic dividend,1981,916137223,"8,614,761,771,963 "
Post-demographic dividend,1980,910028235,"8,516,643,374,684 "
Post-demographic dividend,1979,904016300,"7,691,124,537,001 "
Post-demographic dividend,1978,897666639,"6,688,574,957,642 "
Post-demographic dividend,1977,891425425,"5,568,318,221,883 "
Post-demographic dividend,1976,885318037,"4,926,495,687,332 "
Post-demographic dividend,1975,879414142,"4,540,168,415,777 "
Post-demographic dividend,1974,871925569,"4,051,795,598,613 "
Post-demographic dividend,1973,863925539,"3,628,029,305,309 "
Post-demographic dividend,1972,856920648,"3,006,457,840,605 "
Post-demographic dividend,1971,848920841,"2,592,367,780,607 "
Post-demographic dividend,1970,840831632,"2,338,127,750,589 "
Post-demographic dividend,1969,833295508,"2,129,389,610,563 "
Post-demographic dividend,1968,824870118,"1,941,230,012,967 "
Post-demographic dividend,1967,818152203,"1,791,273,899,175 "
Post-demographic dividend,1966,810468063,"1,669,328,620,201 "
Post-demographic dividend,1965,802226258,"1,522,281,724,323 "
Post-demographic dividend,1964,793397728,"1,401,510,363,741 "
Post-demographic dividend,1963,784266930,"1,284,010,688,363 "
Post-demographic dividend,1962,774963142,"1,192,851,702,586 "
Post-demographic dividend,1961,765509490,"1,104,230,369,113 "
Post-demographic dividend,1960,754697140,"1,044,486,437,505 "
Pre-demographic dividend,2015,850271023,"1,266,921,274,053 "
Pre-demographic dividend,2014,826352062,"1,463,901,108,696 "
Pre-demographic dividend,2013,802855752,"1,383,102,760,901 "
Pre-demographic dividend,2012,779862983,"1,267,027,347,358 "
Pre-demographic dividend,2011,757484446,"1,158,380,727,606 "
Pre-demographic dividend,2010,735769429,"1,001,502,333,116 "
Pre-demographic dividend,2009,714815271,"722,410,702,012 "
Pre-demographic dividend,2008,694563093,"798,862,710,249 "
Pre-demographic dividend,2007,674958034,"626,616,158,947 "
Pre-demographic dividend,2006,655915560,"512,779,766,103 "
Pre-demographic dividend,2005,637375179,"411,459,705,763 "
Pre-demographic dividend,2004,619292053,"332,055,659,808 "
Pre-demographic dividend,2003,601666093,"274,045,974,356 "
Pre-demographic dividend,2002,584583809,"237,033,426,454 "
Pre-demographic dividend,2001,568156237,"200,715,039,169 "
Pre-demographic dividend,2000,552445596,"211,778,683,673 "
Pre-demographic dividend,1999,537505596,"181,522,906,924 "
Pre-demographic dividend,1998,523261490,"178,815,079,033 "
Pre-demographic dividend,1997,509493025,"180,783,539,199 "
Pre-demographic dividend,1996,495900493,"173,241,344,232 "
Pre-demographic dividend,1995,482278474,"155,295,434,345 "
Pre-demographic dividend,1994,468524311,"134,350,438,836 "
Pre-demographic dividend,1993,454723399,"144,173,521,454 "
Pre-demographic dividend,1992,441088911,"157,905,583,728 "
Pre-demographic dividend,1991,427933883,"170,433,522,055 "
Pre-demographic dividend,1990,415481032,"167,645,307,794 "
Pre-demographic dividend,1989,403778747,"102,382,401,001 "
Pre-demographic dividend,1988,392740587,"100,397,687,836 "
Pre-demographic dividend,1987,382288800,"98,291,885,288 "
Pre-demographic dividend,1986,372296266,"85,285,307,507 "
Pre-demographic dividend,1985,362656276,"83,048,158,783 "
Pre-demographic dividend,1984,353373959,"79,630,771,404 "
Pre-demographic dividend,1983,344444016,"78,960,997,308 "
Pre-demographic dividend,1982,335735167,"91,820,611,953 "
Pre-demographic dividend,1981,327083338,"95,853,121,996 "
Pre-demographic dividend,1980,318378349,"106,724,355,351 "
Pre-demographic dividend,1979,309548454,"84,911,386,478 "
Pre-demographic dividend,1978,300637943,"65,682,329,750 "
Pre-demographic dividend,1977,291797523,"59,024,366,181 "
Pre-demographic dividend,1976,283246998,"54,140,911,658 "
Pre-demographic dividend,1975,275143854,"44,744,426,977 "
Pre-demographic dividend,1974,267537392,"39,024,210,692 "
Pre-demographic dividend,1973,260374328,"26,765,413,171 "
Pre-demographic dividend,1972,253585295,"21,875,790,590 "
Pre-demographic dividend,1971,247059252,"18,712,910,320 "
Pre-demographic dividend,1970,240714208,"19,654,238,942 "
Pre-demographic dividend,1969,234532020,"15,435,225,861 "
Pre-demographic dividend,1968,228537586,"13,872,848,607 "
Pre-demographic dividend,1967,222741879,"13,374,243,017 "
Pre-demographic dividend,1966,217167605,"13,571,569,315 "
Pre-demographic dividend,1965,211829507,"12,386,349,287 "
Pre-demographic dividend,1964,206723945,"11,446,689,530 "
Pre-demographic dividend,1963,201836017,"10,482,511,486 "
Pre-demographic dividend,1962,197156196,"9,880,479,016 "
Pre-demographic dividend,1961,192672273,"9,260,461,504 "
Pre-demographic dividend,1960,188373482,"8,746,557,299 "
Small states,2015,38050062,"447,702,072,099 "
Small states,2014,37479355,"520,631,373,301 "
Small states,2013,36903594,"504,038,252,698 "
Small states,2012,36314122,"484,195,657,177 "
Small states,2011,35700983,"463,284,543,259 "
Small states,2010,35031584,"378,924,271,154 "
Small states,2009,34354027,"330,416,314,685 "
Small states,2008,33652912,"388,024,602,329 "
Small states,2007,32928941,"322,357,615,480 "
Small states,2006,32241884,"269,119,746,873 "
Small states,2005,31625173,"232,344,375,223 "
Small states,2004,31089066,"194,770,623,775 "
Small states,2003,30606605,"161,763,657,385 "
Small states,2002,30169143,"135,248,484,512 "
Small states,2001,29750155,"126,223,682,012 "
Small states,2000,29317318,"125,931,072,698 "
Small states,1999,28868201,"113,369,666,686 "
Small states,1998,28434112,"105,750,625,184 "
Small states,1997,28008288,"105,366,907,618 "
Small states,1996,27589152,"99,925,133,194 "
Small states,1995,27169420,"93,938,625,841 "
Small states,1994,26763596,"82,828,881,501 "
Small states,1993,26362582,"78,525,097,382 "
Small states,1992,25962570,"80,290,879,344 "
Small states,1991,25544342,"75,443,039,458 "
Small states,1990,25098360,"74,058,567,962 "
Small states,1989,24646585,"64,029,516,397 "
Small states,1988,24170869,"61,539,738,259 "
Small states,1987,23702110,"55,849,877,216 "
Small states,1986,23227893,"48,881,357,406 "
Small states,1985,22752740,"49,881,603,092 "
Small states,1984,22284023,"51,850,327,159 "
Small states,1983,21822949,"52,283,410,673 "
Small states,1982,21370353,"54,056,640,935 "
Small states,1981,20931142,"54,338,307,833 "
Small states,1980,20520549,"52,586,910,355 "
Small states,1979,20127911,"39,671,928,887 "
Small states,1978,19759114,"31,948,345,378 "
Small states,1977,19410932,"29,741,973,803 "
Small states,1976,19070972,"26,188,263,336 "
Small states,1975,18734727,"22,913,677,942 "
Small states,1974,18400040,"20,132,270,539 "
Small states,1973,18070691,"12,951,703,516 "
Small states,1972,17744988,"10,397,079,016 "
Small states,1971,17424684,"8,809,309,438 "
Small states,1970,17112785,"7,828,871,569 "
South Asia,2015,1744161298,"2,666,094,332,135 "
South Asia,2014,1721152580,"2,583,577,541,979 "
South Asia,2013,1698093032,"2,362,553,805,763 "
South Asia,2012,1675019307,"2,295,122,382,072 "
South Asia,2011,1651888921,"2,264,665,276,182 "
South Asia,2010,1628688562,"2,093,718,885,212 "
South Asia,2009,1605443788,"1,706,841,276,030 "
South Asia,2008,1582147481,"1,552,632,048,542 "
South Asia,2007,1558685624,"1,526,158,574,230 "
South Asia,2006,1534949611,"1,204,953,472,746 "
South Asia,2005,1510864613,"1,053,910,008,263 "
South Asia,2004,1486402311,"919,797,959,628 "
South Asia,2003,1461601023,"793,221,517,963 "
South Asia,2002,1436527869,"679,163,427,142 "
South Asia,2001,1411288216,"645,830,784,120 "
South Asia,2000,1385959570,"629,218,217,621 "
South Asia,1999,1360594891,"605,084,590,955 "
South Asia,1998,1335193652,"564,567,117,494 "
South Asia,1997,1309774343,"556,845,689,847 "
South Asia,1996,1284343918,"530,762,804,871 "
South Asia,1995,1258903823,"485,123,498,772 "
South Asia,1994,1233480616,"436,754,247,288 "
South Asia,1993,1208123497,"384,862,082,110 "
South Asia,1992,1182862267,"388,728,331,787 "
South Asia,1991,1157752321,"366,063,254,873 "
South Asia,1990,1132833314,"411,962,013,510 "
South Asia,1989,1108148042,"382,622,861,479 "
South Asia,1988,1083705645,"379,205,937,369 "
South Asia,1987,1059536231,"352,955,742,530 "
South Asia,1986,1035659508,"317,836,293,782 "
South Asia,1985,1012099768,"300,053,885,919 "
South Asia,1984,988878603,"275,906,008,811 "
South Asia,1983,966023576,"277,286,640,258 "
South Asia,1982,943562470,"261,844,853,326 "
South Asia,1981,921521635,"253,081,026,268 "
South Asia,1980,900085240,"238,839,585,776 "
South Asia,1979,878939779,"198,041,918,583 "
South Asia,1978,858266916,"176,823,188,639 "
South Asia,1977,838141522,"155,407,351,304 "
South Asia,1976,818590962,"134,339,026,953 "
South Asia,1975,799620311,"137,458,597,974 "
South Asia,1974,781254784,"128,325,971,322 "
South Asia,1973,763491289,"106,033,344,315 "
South Asia,1972,746222138,"92,636,365,540 "
South Asia,1971,729469562,"92,122,896,789 "
South Asia,1970,713115397,"86,652,133,907 "
South Asia,1969,697060567,"80,004,890,145 "
South Asia,1968,681405837,"72,867,560,642 "
South Asia,1967,666134328,"69,408,573,982 "
South Asia,1966,651325994,"63,055,010,157 "
South Asia,1965,636963781,"75,140,448,166 "
South Asia,1964,623073110,"69,950,360,857 "
South Asia,1963,609571502,"61,058,785,168 "
South Asia,1962,596701125,"54,271,620,755 "
South Asia,1961,584143236,"50,850,574,463 "
South Asia,1960,572036107,"47,679,117,486 "
South Asia (IDA & IBRD),2015,1744161298,"2,666,094,332,135 "
